10 20 45 20 76 75 87 41 39 31
10 30 60 27 80 78 81 40 27 31
10 300 54 21 80 77 69 35 27 31
10 10000 75 30 83 81 72 37 48 31
20 20 135 59 297 296 219 112 111 97
20 30 135 65 293 291 225 119 123 97
20 300 126 77 302 299 216 114 120 97
20 10000 150 64 302 299 210 115 96 97
30 20 216 112 690 686 369 208 177 178
30 30 249 110 692 690 351 199 195 178
30 300 291 169 715 712 354 200 228 178
30 10000 267 128 655 651 360 201 204 178
40 20 288 164 1178 1174 534 303 258 283
40 30 348 179 1184 1182 534 306 306 283
40 300 360 172 1254 1251 534 308 366 283
40 10000 426 223 1176 1170 552 305 264 283
50 20 429 254 1890 1886 747 422 345 395
50 30 471 252 1905 1903 726 413 366 395
50 300 654 350 1928 1924 717 408 453 395
50 10000 510 314 1879 1873 720 411 414 395
60 20 609 338 2700 2696 948 536 474 505
60 30 807 343 2663 2661 927 523 555 505
60 300 729 366 2793 2789 903 523 663 505
60 10000 690 394 2648 2642 930 532 486 505
70 20 771 398 3589 3585 1110 640 678 646
70 30 753 459 3682 3679 1095 642 615 646
70 300 726 378 3802 3798 1095 638 669 646
70 10000 633 398 3698 3692 1101 643 645 646
80 20 936 478 4725 4720 1335 779 795 783
80 30 900 479 4769 4766 1335 776 723 783
80 300 690 486 5066 5062 1314 762 858 783
80 10000 720 404 4894 4888 1302 765 816 783
90 20 876 571 6101 6096 1566 906 966 936
90 30 855 526 6066 6063 1545 907 837 936
90 300 963 525 6377 6373 1494 888 876 936
90 10000 984 517 6331 6325 1524 897 954 936
100 20 1206 611 7474 7469 1770 1042 1128 1077
100 30 1026 681 7632 7629 1764 1032 1062 1077
100 300 1089 567 7869 7865 1719 1027 1083 1077
100 10000 1101 583 7743 7737 1737 1025 1161 1077
200 20 2565 1585 28532 28527 4077 2456 2727 2827
200 30 2415 1551 27859 27856 4110 2461 2754 2827
200 300 3018 1535 29373 29368 4074 2461 2712 2827
200 10000 3201 1606 28527 28519 4032 2442 2712 2827
300 20 4353 2533 54718 54712 6579 4000 4761 4929
300 30 3573 2590 54506 54503 6627 4011 4533 4929
300 300 5145 2771 55425 55420 6594 4000 4674 4929
300 10000 4176 2424 54671 54662 6624 4016 4764 4929
400 20 4920 3351 83275 83269 9426 5743 7170 7199
400 30 6600 3380 85727 85724 9360 5721 6444 7199
400 300 6945 3878 88125 88120 9354 5714 6936 7199
400 10000 6285 3437 86045 86036 9414 5721 7092 7199
500 20 6654 4835 118364 118358 12159 7420 9789 9505
500 30 7284 4829 122475 122472 12222 7482 8862 9505
500 300 8493 4625 125803 125798 12024 7387 9438 9505
500 10000 6858 4572 123054 123045 12123 7406 9615 9505
600 20 12264 6355 161090 161083 15033 9212 12477 12347
600 30 8802 5538 164507 164504 15060 9244 11262 12347
600 300 10467 5682 164941 164936 14952 9211 12384 12347
600 10000 10863 6148 164477 164468 15060 9252 11520 12347
700 20 10944 7012 208926 208919 18129 11131 15309 15121
700 30 11793 6984 213692 213689 18135 11156 13839 15121
700 300 12996 7161 207924 207919 18063 11098 14133 15121
700 10000 11154 6856 208374 208365 18111 11106 13815 15121
800 20 12471 7968 262286 262279 21171 13026 18339 17887
800 30 14712 8434 265026 265023 21147 13058 16263 17887
800 300 13470 8359 259158 259153 21195 13032 17301 17887
800 10000 11844 8229 259736 259727 21171 13047 16407 17887
900 20 18333 10082 320139 320132 24144 14914 21120 20693
900 30 17442 9809 323840 323837 24189 14936 19257 20693
900 300 15378 9412 311927 311922 24174 14920 19566 20693
900 10000 16179 9341 321136 321127 24183 14961 19425 20693
1000 20 15300 10218 385560 385553 27135 16823 23541 23499
1000 30 17715 11520 386082 386079 27171 16837 22629 23499
1000 300 19377 10560 370851 370846 27360 16890 22452 23499
1000 10000 18345 11606 383062 383053 27213 16849 22203 23499
2000 20 38856 23532 1276845 1276836 60528 37683 54270 56975
2000 30 37515 22652 1290245 1290242 60258 37625 53166 56975
2000 300 37272 23522 1265354 1265349 60501 37721 53355 56975
2000 10000 38937 24251 1282203 1282194 60624 37771 56490 56975
3000 20 69804 40565 2670936 2670927 96279 60296 90465 96371
3000 30 55962 36429 2663946 2663943 96363 60277 90243 96371
3000 300 58062 40275 2677025 2677020 96426 60367 84168 96371
3000 10000 75513 40298 2714214 2714205 96075 60218 93417 96371
4000 20 82749 50321 4558413 4558404 133020 83433 128088 135903
4000 30 96843 59766 4549940 4549937 132939 83355 127341 135903
4000 300 97080 53107 4520374 4520368 132837 83341 123477 135903
4000 10000 80988 54356 4584641 4584631 132810 83402 134010 135903
10000 20 254658 149458 26661698 26661689 372567 235359 378927 425695
10000 30 258252 149707 26157876 26157872 372717 235408 387579 425695
10000 300 237564 151769 26292911 26292902 372576 235335 378264 425695
10000 10000 242475 153130 26485862 26485852 372387 235330 382275 425695
50000 20 1494696 922747 632335701 632335690 2212284 1409745 2590392 2939311
50000 30 1422441 926376 631494255 631494247 2213058 1410108 2577765 2939311
50000 300 1486905 1050509 632074868 632074858 2212893 1409945 2620428 2939311
50000 10000 1508934 973509 632155539 632155528 2212104 1409585 2594814 2939311
100000 20 3066966 1981546 2516920066 2516920055 4724433 3019461 5710566 6663087
100000 30 3089943 2001086 2523162835 2523162825 4725078 3019680 5864553 6663087
100000 300 3458919 2094147 2513834684 2513834674 4725042 3019367 6015132 6663087
100000 10000 3046305 1994406 2507388341 2507388330 4725267 3019208 5765187 6663087
